nb_pieces,lien,titre,surface,nb_chambres,annee_constr,nb_features_int,features_int,features_ext,terrain,prix,type,villes,piscine,place_parking,cuisine_amenagee,ascenseur,sous_sol,balcons,terrasses,caves,garages
1,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-08/appartement-1-piece-21478896,Appartement T1 Paris 08,31,1,0,2,Cuisine Amenagee,,0,333000,Appartement,Paris 08,0,0,1,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-1-piece-21478895,Appartement T1 Paris 18,23,1,1930,4,"Cuisine Independante, Avec ascenseur",,0,315000,Appartement,Paris 18,0,0,0,1,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-2-pieces-21478894,Appartement T2 pres de Paris 18,34,1,0,4,"Cuisine Independante, 1 cave(s)",,0,315000,Appartement,Paris 18,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-1-piece-21478891,Appartement T1 Paris 18,17,1,1883,2,Cuisine Independante,,0,199000,Appartement,Paris 18,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-1-piece-21478889,Appartement T1 Paris 18,6,1,0,0,,,0,89000,Appartement,Paris 18,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris15saintcharles/acheter/paris-15/appartement-1-piece-21478887,Appartement T1 Paris 15,23,1,1910,2,Cuisine Amenagee,,0,190000,Appartement,Paris 15,0,0,1,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris4-marais/acheter/paris-04/appartement-2-pieces-21478881,Appartement T2 pres de Paris 04,20,1,0,2,Cuisine Independante,,0,251000,Appartement,Paris 04,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/lateste/acheter/la-teste-de-buch/appartement-3-pieces-21478840,Appartement T3 La Teste-de-Buch,59,2,2012,4,"Cuisine Americaine, 1 terrasse(s)",,1,389500,Appartement,La Teste-de-Buch,0,0,0,0,0,0,1,0,0
4,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-4-pieces-21478830,Appartement T4 Paris 18,84,2,0,6,"Cuisine Independante, Avec ascenseur, 1 cave(s)",,0,1020000,Appartement,Paris 18,0,0,0,1,0,0,0,1,0
4,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-4-pieces-21478824,Appartement T4 Paris 18,87,2,0,6,"Cuisine Amenagee/equipee, Avec ascenseur, 1 cave(s)",,0,1040000,Appartement,Paris 18,0,0,1,1,0,0,0,1,0
4,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/maison-4-pieces-21478812,Maison T4 Paris 18,124,3,0,0,,,0,1645000,Maison,Paris 18,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-4-pieces-21478717,Appartement T4 Paris 10,86,3,0,6,"Cuisine Amenagee/equipee, Avec ascenseur, 1 cave(s)",,0,820000,Appartement,Paris 10,0,0,1,1,0,0,0,1,0
4,https://www.laforet.com/agence-immobiliere/bourgoin-jallieu/acheter/bourgoin-jallieu/maison-4-pieces-21478645,Maison T4 pres de Bourgoin-Jallieu,93,3,2008,2,1 garage(s),,1,310000,Maison,Bourgoin-Jallieu,0,0,0,0,0,0,0,0,1
4,https://www.laforet.com/agence-immobiliere/saintesteve/acheter/saint-esteve/maison-4-pieces-21478637,Maison T4 Saint-Esteve,132,3,1964,4,"Cuisine Amenagee/equipee, 1 garage(s)",,1,337000,Maison,Saint-Esteve,0,0,1,0,0,0,0,0,1
3,https://www.laforet.com/agence-immobiliere/castelnau/acheter/montpellier/appartement-3-pieces-21478608,Appartement T3 Montpellier,70,2,1962,4,"Cuisine Equipee, Avec ascenseur",,0,262000,Appartement,Montpellier,0,0,0,1,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris14boulard/acheter/paris-18/appartement-1-piece-21478566,Appartement T1 Paris 18,25,1,0,4,"Cuisine Ouverte, 1 cave(s)",,0,243000,Appartement,Paris 18,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris14boulard/acheter/paris-14/appartement-1-piece-21478564,Appartement T1 Paris 14,19,1,0,6,"Avec ascenseur, 1 balcon(s), 1 cave(s)",,0,217000,Appartement,Paris 14,0,0,0,1,0,1,0,1,0
6,https://www.laforet.com/agence-immobiliere/larbresle/acheter/larbresle/maison-6-pieces-21478561,Maison T6 pres de L'Arbresle,160,4,1970,2,Cuisine Independante,,1,520000,Maison,L'Arbresle,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/ronchin/acheter/lille/maison-4-pieces-21478554,Maison T4 Lille,104,3,1930,6,"Cuisine Simple, 1 terrasse(s), 1 cave(s)",,1,222000,Maison,Lille,0,0,0,0,0,0,1,1,0
4,https://www.laforet.com/agence-immobiliere/saintgenislaval/acheter/saint-genis-laval/maison-4-pieces-21478534,Maison T4 Saint-Genis-Laval,91,3,2004,4,"Cuisine Independante, 1 garage(s)",,1,498000,Maison,Saint-Genis-Laval,0,0,0,0,0,0,0,0,1
4,https://www.laforet.com/agence-immobiliere/cagnes-sur-mer/acheter/cagnes-sur-mer/appartement-4-pieces-21478313,Appartement T4 Cagnes-sur-Mer,80,3,1974,8,"Cuisine Independante, Avec ascenseur, 2 terrasse(s), 1 cave(s)",1 place(s) ext.,0,430000,Appartement,Cagnes-sur-Mer,0,1,0,1,0,0,2,1,0
4,https://www.laforet.com/agence-immobiliere/cannes/acheter/cannes/appartement-4-pieces-21478287,Appartement T4 Cannes,82,3,0,6,"Cuisine Independante, Avec ascenseur, 1 balcon(s)",,0,290000,Appartement,Cannes,0,0,0,1,0,1,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris17levis/acheter/paris-17/appartement-1-piece-21478261,Appartement T1 Paris 17,16,1,1880,4,"Cuisine Amenagee/equipee, 1 cave(s)",,0,210000,Appartement,Paris 17,0,0,1,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris12nation/acheter/paris-12/appartement-1-piece-21478256,Appartement T1 pres de Paris 12,22,1,1979,10,"Cuisine Kitchenet, Avec ascenseur, 1 balcon(s), 1 cave(s), Avec sous-sol",,0,207000,Appartement,Paris 12,0,0,0,1,1,1,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris11bastille/acheter/paris-11/maison-3-pieces-21478165,Maison T3 pres de Paris 11,82,2,0,0,,,0,799000,Maison,Paris 11,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris19jourdain/acheter/creteil/maison-3-pieces-21478138,Maison T3 Creteil,113,2,0,2,Cuisine Amenagee,,1,275000,Maison,Creteil,0,0,1,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/meyzieu/acheter/meyzieu/appartement-5-pieces-21478105,Appartement T5 pres de Meyzieu,114,4,1975,0,,,1,339000,Appartement,Meyzieu,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/redon/acheter/les-fougerets/maison-2-pieces-21478079,Maison T2 Les Fougeraªts,32,1,0,2,Cuisine Nue,,1,56183,Maison,Les Fougeraªts,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/arpajon/acheter/arpajon/appartement-2-pieces-21478065,Appartement T2 Arpajon,47,1,0,2,1 cave(s),,0,139900,Appartement,Arpajon,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/parishaussmann/acheter/paris-08/appartement-3-pieces-21478045,Appartement T3 Paris 08,76,2,1898,4,"Avec ascenseur, 1 cave(s)",,0,1095000,Appartement,Paris 08,0,0,0,1,0,0,0,1,0
5,https://www.laforet.com/agence-immobiliere/saintesteve/acheter/saint-esteve/maison-5-pieces-21477978,Maison T5 Saint-Esteve,161,3,1980,6,"Cuisine Simple, 1 terrasse(s), 1 garage(s)",,1,310000,Maison,Saint-Esteve,0,0,0,0,0,0,1,0,1
8,https://www.laforet.com/agence-immobiliere/bois-guillaume/acheter/quincampoix/maison-8-pieces-21477923,Maison T8 pres de Quincampoix,190,6,2010,4,"3 terrasse(s), 1 garage(s)",,1,446000,Maison,Quincampoix,0,0,0,0,0,0,3,0,1
4,https://www.laforet.com/agence-immobiliere/leperreux/acheter/le-perreux-sur-marne/appartement-4-pieces-21477911,Appartement T4 Le Perreux-sur-Marne,68,2,1960,8,"Avec ascenseur, 1 balcon(s), 1 cave(s), 1 garage(s)",,0,428500,Appartement,Le Perreux-sur-Marne,0,0,0,1,0,1,0,1,1
4,https://www.laforet.com/agence-immobiliere/noisylegrand/acheter/noisy-le-grand/appartement-4-pieces-21477856,Appartement T4 Noisy-le-Grand,78,2,1986,8,"Cuisine Amenagee/equipee, Avec ascenseur, 1 balcon(s), 1 cave(s)",,0,260000,Appartement,Noisy-le-Grand,0,0,1,1,0,1,0,1,0
3,https://www.laforet.com/agence-immobiliere/oullins/acheter/oullins/appartement-3-pieces-21477854,Appartement T3 Oullins,72,2,0,4,"Cuisine Independante, 1 cave(s)",,0,240000,Appartement,Oullins,0,0,0,0,0,0,0,1,0
5,https://www.laforet.com/agence-immobiliere/cesson/acheter/vert-saint-denis/maison-5-pieces-21477852,Maison T5 Vert-Saint-Denis,100,4,0,0,,,1,395000,Maison,Vert-Saint-Denis,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris15saintcharles/acheter/paris-15/appartement-1-piece-21477835,Appartement T1 Paris 15,22,1,1910,4,"1 cave(s), Avec sous-sol",,0,275000,Appartement,Paris 15,0,0,0,0,1,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris9mogador/acheter/paris-09/appartement-3-pieces-21477821,Appartement T3 Paris 09,77,1,0,2,Cuisine Independante,,0,755000,Appartement,Paris 09,0,0,0,0,0,0,0,0,0
7,https://www.laforet.com/agence-immobiliere/blanquefort/acheter/macau/maison-7-pieces-21477817,Maison T7 Macau,145,5,0,0,,,1,366400,Maison,Macau,0,0,0,0,0,0,0,0,0
